step,timing_s/gen,timing_s/step
1,383.10875081270933,582.2236944986507
2,395.1818231008947,641.9878599597141
3,357.20143050327897,599.6897265110165
4,366.4714281996712,612.4050811836496
5,350.91808290872723,606.577537484467
6,364.3389793811366,607.8925391361117
7,379.3183090630919,641.4182979110628
8,354.6904233265668,620.9989910973236
9,353.48476600740105,599.9918983355165
10,365.07252873759717,614.6768130548298
11,358.4366244971752,613.8914653556421
12,338.07861478533596,586.1767429960892
13,354.8263544291258,608.9807357732207
14,374.8644983638078,637.2193667143583
15,343.4950642827898,588.4410833204165
16,347.5913533465937,594.3396999267861
